商品名稱,品牌名稱,累積金額,商品單價,商品網址,商品規格,剩餘時間,集資期間(30天內開團的商品),集資開始,集資結束
【追覓 Dreame L10s Ultra｜全能掃拖旗艦機】7 合 1 全自動機座、5300Pa 業界最強吸力、雙旋式按壓濕拖、AI 視覺避障、智慧拖布抬升，「真」旗艦全能掃地機器人！,theAxiom 安德家品,74229481,24980,https://www.zeczec.com/projects/dreame-l10s-ultra-7-1,"追覓科技全新力作！完美集結 ▶︎ 自動集塵、補水、洗烘拖布、銀離子除菌，60 天倒一次垃圾...等多項功能，給你頂級規格，CP 值爆表的價格，真正實現解放雙手！,zeczec",8 天,2022/11/01 12:00 – 2022/11/29 13:00,2022-11-01 12:00:00,2022-11-29 13:00:00
【WOKY –[●●] 渾圓杯｜最台吸管保溫杯】 770ml 超大容量！一杯暢飲全部外帶手搖,WOKY,9048123,840,https://www.zeczec.com/projects/woky-770ml,"由台灣手搖文化出發設計，有感升級開發770ml大容量結合獨家鈦陶瓷、封水結構、珍珠粗吸管、隱藏式手提及可替換止水豆設計，無畏各式飲品新口味搶攻市場，專為手搖控準備，一杯就足夠日常所需！,zeczec",10 天,2022/10/24 12:00 – 2022/12/01 23:59,2022-10-24 12:00:00,2022-12-01 23:59:00
【 xTool D1 Pro 20W 雷雕機 】王者歸來！歡迎來到頂規 20W 二極體雷射新世界⚡,Makeblock,7396390,43980,https://www.zeczec.com/projects/xtool-d1-pro-20w,"✨ 加倍快｜加倍強｜加倍準。硬實力，就是我的超能力！ 熱愛創作的你是否就差一台功率更強、創意不受限的雷雕機呢？,zeczec",17 天,2022/11/03 12:00 – 2022/12/08 02:00,2022-11-03 12:00:00,2022-12-08 02:00:00
 Aries 快拆式大錐刀磨豆機 ｜83mm 3 秒快拆式鍍鈦錐刀，5 段式可調式研磨轉速，在家就能享受頂級精品咖啡風味,米克斯酷,6116400,28900,https://www.zeczec.com/projects/aries,"在家喝咖啡也能很享受。專為咖啡痴匠心打造的 Aries 磨豆機，獨家 3 秒刀盤快拆設計，結合 83mm 鍍鈦錐刀，為每一次磨豆留下最純粹風味，只留口齒餘香給您。,zeczec",38 天,2022/11/15 21:00 – 2022/12/29 23:59,2022-11-15 21:00:00,2022-12-29 23:59:00
【週週抽好禮】CHIMEI奇美 瞬熱智慧溫控飲水機｜制霸市面瞬熱飲水機，容量、面板、規格、品質全面大升級，高貴不貴，一鍵瞬熱,CHIMEI 奇美家電,5312427,3680,https://www.zeczec.com/projects/chimei,"304不鏽鋼導熱出水管專利技術，完美克服瞬熱出水難題，SGS認證不含雙酚A安全大容量水箱，5層淨化TÜV認證專業濾心，6大安全保護，免擔心乾燒、跳電、過熱等問題，讓你一鍵瞬熱，安心飲水。,zeczec",18 天,2022/10/26 10:30 – 2022/12/09 23:59,2022-10-26 10:30:00,2022-12-09 23:59:00
【WondaMop｜免換水淨水拖把組】污水淨化 × 淨水循環 × 細菌濾淨 × 免倒換水 × 極致乾淨 ✨超早鳥優惠🎁優惠限定，抽超值大獎！,富商國際股份有限公司,4507434,1420,https://www.zeczec.com/projects/wondamop,"2000年來拖把的全新革命：讓人""嘖嘖稱奇""的拖把! 拖地居然可以不用換水，2.5公升拖地水...居然可以重覆使用如此清澈！ 『從此拖地免換水』＃超濾淨＃真乾淨,zeczec",22 天,2022/10/25 12:00 – 2022/12/13 02:00,2022-10-25 12:00:00,2022-12-13 02:00:00
De'Longhi 全自動義式咖啡機 Dinamica 350 系列 ｜ 2022 最新美型機種，超質感觸控面板與創新純萃冷冽冰咖啡技術，給愛喝咖啡的你！,DeLonghi Taiwan,3802200,30900,https://www.zeczec.com/projects/delonghi-ecam350,"全世界 No.1 全自動義式咖啡機品牌 De’Longhi 特別計畫！推出純萃冷冽冰咖啡 TRUEBREW OVER ICE™ 技術，給最喜歡的冰咖啡的你。使用低溫萃取讓濃烈的咖啡在冰塊上能同時...,zeczec",22 天,2022/11/01 11:00 – 2022/12/13 02:00,2022-11-01 11:00:00,2022-12-13 02:00:00
MUFU V20S ｜雙鏡頭機車行車記錄器｜超大電量連續錄影長達7.5小時｜即扣即錄免按鍵使用很簡單,MUFU,3194871,2990,https://www.zeczec.com/projects/mufu-v20s,"機車行車記錄器使用可以很簡單，MUFU推出一款男女老少都能使用的機車行車紀錄器，行車記錄簡單搞定！,zeczec",10 天,2022/10/26 11:00 – 2022/12/01 02:00,2022-10-26 11:00:00,2022-12-01 02:00:00
【日本 ATEX｜V 型溫感指壓按摩椅墊】日本專利設計、工藝級按摩科技，小而有力。肩 / 頸 / 臀，真人感全方位按摩，一台搞定！,日本ATEX,2660492,3880,https://www.zeczec.com/projects/atex-v,"風靡全日本美臀推拿機，8 顆按摩球打造 3D 深層按摩，一台包辦按摩肩頸、腰部和臀部，布套可拆卸機洗。,zeczec",39 天,2022/11/17 12:00 – 2022/12/30 02:00,2022-11-17 12:00:00,2022-12-30 02:00:00
2022 最新款【 LG A9TS｜蒸氣濕拖無線吸塵器 】｜自動除塵旗艦再進化，獨家蒸氣雙旋濕拖＋全新LED輕薄寬扁吸頭，全方位瓦解難纏髒污，清潔不髒雙手。,LG ,2024650,34900,https://www.zeczec.com/projects/lg-a9ts,"LG 2022 最新機種 —— LG A9TS蒸氣濕拖無線吸塵器，搭載業界領先自動除塵功能，更加入獨家「蒸氣雙旋濕拖功能」，全方位無死角地解決地板頑強污垢。,zeczec",15 天,2022/11/03 21:00 – 2022/12/06 23:59,2022-11-03 21:00:00,2022-12-06 23:59:00
Allite CF1 多功能車用手機架｜首創 3-in-1 無線充電・磁吸支架・舒心擴香一次到位！ ,Allite ,1657652,1590,https://www.zeczec.com/projects/allite-cf1,"告別傳統手機架！創新結合 MagSafe 技術與擴香功能，打造一次到位的車用配備。CF1 全方位手機架，完美提升駕車體驗！ ,zeczec",16 天,2022/10/25 12:00 – 2022/12/07 12:00,2022-10-25 12:00:00,2022-12-07 12:00:00
【 🇯🇵 KOIZUMI｜Monster 日系暴風級負離子吹風機 】雙渦輪業界領先大風量，頭皮護理模式搭載，在家也能吹出髮廊級秀髮！,可易家電,1416488,3490,https://www.zeczec.com/projects/monster,"日本市佔前三，口碑超好評，2022 最新款式全新登台！雙渦輪超大風量 Ｘ 20 種組合模式，省去煩人的吹髮時間，還能開啟頭皮護理模式，從根本照顧秀髮！,zeczec",9 天,2022/10/26 20:00 – 2022/11/30 23:59,2022-10-26 20:00:00,2022-11-30 23:59:00
【Shining3D EinStar｜手持式 3D 全彩超高速掃描器 】顛覆掃描市場、大範圍、超易用、超高CP值，掃描逆向建模王者再臨！,KidenDesign,1411800,29800,https://www.zeczec.com/projects/shining3d-einstar,"【Shining3D EinStar｜手持式 3D 全彩超高速掃描器 】顛覆掃描市場、大範圍、超易用、超高CP值，掃描逆向建模王者再臨！,zeczec",29 天,2022/11/17 12:00 – 2022/12/20 23:59,2022-11-17 12:00:00,2022-12-20 23:59:00
〖 蠟筆小新熱壓吐司機 〗零失敗! 三分鐘療癒上桌♡ 高顏值小新×小白雙烤紋★陪你吃可愛長大,Norns,1350613,1690,https://www.zeczec.com/projects/norns,"日本官方授權 ‧ 全台首發 ♡《蠟筆小新：風起雲湧 光榮烤吐司之路》登場◆預購就送日式兩用收納袋◆省時省力一鍋到底★ 咖啡廳等級的吐司／鬆餅在家輕鬆做。一機在手，療癒無限、美味無窮,zeczec",29 天,2022/11/01 11:00 – 2022/12/20 23:59,2022-11-01 11:00:00,2022-12-20 23:59:00
Fuumas Puzzle 阿里山百年 SL-21 夏依式火車收藏紀念款模型 | 祝賀阿里山林業鐵路 & 夏依式火車 110 周年、3D 立體可動木質模型拼圖！,富馬樂創,1323266,1970,https://www.zeczec.com/projects/FuumasPuzzle-SL-21,"透過現代工藝、設計巧思，讓消費者以合理的價格，擁有「立體、可手動、著重細節」的DIY木質蒸汽機車拼圖！,zeczec",38 天,2022/11/16 10:30 – 2022/12/29 23:59,2022-11-16 10:30:00,2022-12-29 23:59:00
通過美國最高軍武級防護規格 | Wetop C300Pro 環境淨化器，主動清淨，即時淨化空氣及物體表面，專為呼吸安全打造,WETOP 數緯環境科技,1302420,19600,https://www.zeczec.com/projects/wetop-c300pro,"今年我們再度推出一台以 「即時呼吸安全防護」 的環境淨化器，不僅能夠淨化空氣、還可以淨化物體表面，提供最高規格的美國軍武級安全防護，同時又兼顧安全、安靜需求，以24小時不間斷使用標準，打造可固定...,zeczec",55 天,2022/11/15 21:00 – 2023/01/15 02:00,2022-11-15 21:00:00,2023-01-15 02:00:00
