ECLIPSE 隨行濾茶壺｜整組茶具，一手掌握！,初芳宇,907540,3590,https://www.zeczec.com//projects/eclipse-travel-press,"內建量杯 × 陶瓷純飲 × 真空保溫 × 茶葉舒展 × 淬取控制 × 超好清洗！ 專業又時尚的整組茶具，一手就能掌握！,zeczec",59 天,2022/05/20 12:00 – 2022/07/20 23:59,2022/05/20 12:00:00,2022/07/20 23:59:00
威旺WeWant 寵物清潔組｜專利酵素配方｜犬貓耳朵、淚痕問題一次搞定,威旺WeWant-寵物營養保健專家,0,1099,https://www.zeczec.com//projects/wewant_cleaning_supplies,"您家的毛孩有定期清潔耳周嗎？眼周常常出現淚痕嗎？試試威旺清潔新法寶，輕鬆解決耳周清潔、淚痕問題。,zeczec",39 天,2022/05/20 12:00 – 2022/07/01 02:00,2022/05/20 12:00:00,2022/07/01 02:00:00
Beckmann ｜挪威護脊背包 ：STREET GO 上班出遊都能背，防潑水、高機能、還很時髦！,Beckmann Taiwan,66865,2985,https://www.zeczec.com//projects/beckmann-2022-street-go,"為護脊而生的背包：Beckmann 挪威護脊包，由75年製包經驗的團隊設計打造，簡單俐落的外型，帶給使用者最輕便好背的體驗！,zeczec",29 天,2022/05/20 11:55 – 2022/06/20 23:59,2022/05/20 11:55:00,2022/06/20 23:59:00
MiniDryer多功能烘乾器｜30分鐘將衣服鞋子快速烘乾、70ºC熱風循環、UVA紫外線抑菌,MOFIITECH,13160,1880,https://www.zeczec.com//projects/minidryer,"居家辦公必備神器，濕掉衣物鞋子快速烘乾，不要再用吹風機了！讓你省時省力更輕鬆。一次可烘3-5件衣服，外套、內衣、襪子、鞋子都可以，最快30分鐘給你乾爽舒適的生活。,zeczec",39 天,2022/05/20 09:00 – 2022/06/30 23:59,2022/05/20 09:00:00,2022/06/30 23:59:00
POSTORY｜旅行明信片社群app,POSTORY,53237,50,https://www.zeczec.com//projects/postory-app,"我們運用科技結合傳統明信片與社群，讓訊息傳遞變得更有溫度；讓創作者能透過POSTORY獲得創作收益；讓一張風景照片在旅途中成為最有溫度的風景。,zeczec",39 天,2022/05/19 21:00 – 2022/06/30 23:59,2022/05/19 21:00:00,2022/06/30 23:59:00
Yeelight 智慧螢幕掛燈 Pro ｜最高護眼規格設計，RGB 電競氛圍燈搭載，護眼和娛樂雙重兼顧,Yeelight易來科技｜暢享智慧好光,1469387,2980,https://www.zeczec.com//projects/yeelightpro,"Yeelight 2022 全新螢幕掛燈，採用最高規格光照 LED，以及非對稱的光學設計，提供柔和舒適的光線，滿足長時間使用電腦的護眼需求，減少疲勞對眼睛造成的傷害。,zeczec",29 天,2022/05/18 21:00 – 2022/06/20 23:59,2022/05/18 21:00:00,2022/06/20 23:59:00
【 Phigolf 2｜高爾夫訓練器 】全新設計登場，手感再升級！一次入園價，給你無限制的高爾夫體驗！隨時隨地，即刻揮桿！,Phigolf 高爾夫訓練器,911915,4899,https://www.zeczec.com//projects/phigolf-2,"透過 9G 超輕量感測器，精準分析您的 6 大指標；支援 3 大超夯高爾夫 APP、親臨世界各大知名球場。讓你不再擔心球場預約問題，也不用看天氣臉色，疫情期間也可以在家與球友組隊線上揮桿！,zeczec",22 天,2022/05/18 20:00 – 2022/06/13 23:59,2022/05/18 20:00:00,2022/06/13 23:59:00
【史上最低價！65W GaN氮化鎵改版回饋支持者】強大PPS快充技術！支援PD3.0、QC4.0＋、QC3.0，工作/旅行/居家必備,POLYBATT,40157,599,https://www.zeczec.com//projects/POLYBATT-65WGaN,"體積小大功率，支援筆記型電腦、平板及智慧型手機快速充電！一顆三端口，同時滿足多設備充電需求！,zeczec",56 天,2022/05/18 20:00 – 2022/07/17 23:59,2022/05/18 20:00:00,2022/07/17 23:59:00
老派浪漫｜美國ION Audio 3合1復古箱式黑膠唱機 × AM/FM 收音機【TRIO LP neo】｜黑膠文藝復興 串起世代共鳴,桃子良品,191719,3580,https://www.zeczec.com//projects/TRIOLPneo,"黑膠唱片近年襲捲音樂圈，不管是老歌星的唱片經典復刻，或是新一代歌手跟進黑膠熱潮；做為一個音樂愛好者，擁有實體唱片的浪漫，是串流音樂所無法取代的。 ​ ​ 桃子良品獨家代理的美國音樂設備大廠...,zeczec",26 天,2022/05/18 12:00 – 2022/06/18 02:00,2022/05/18 12:00:00,2022/06/18 02:00:00
【 Haxson AirFan｜智慧風扇清淨機 】集結 20 項重點功能設計，只為一次性解決您所有的床上生活需求！,Haxson TW,4868101,7380,https://www.zeczec.com//projects/haxson-airfan,"10 段可調式風扇與暖風機設計，降溫消暑、居家保暖皆宜。獨立睡眠區空氣清淨機，UV-C、碳濾網與負離子淨化三合一。 多功能床頭燈與藍牙音響功能，智慧時鐘設計與多種鬧鐘模式選擇。AirFan 品質...,zeczec",31 天,2022/05/17 12:00 – 2022/06/23 02:00,2022/05/17 12:00:00,2022/06/23 02:00:00
【CyberPower 4 in 1 多功能無線充電座】減法生活，一機搞定！,CyberPower,461695,990,https://www.zeczec.com//projects/cyberpower-4-in-1-desk-top-charger,"專為台灣用戶打造的 4 in 1 多功能充電座，整合無線快充板 x AC插孔 x USB-C x USB-A， 多裝置充電一次到位！,zeczec",39 天,2022/05/17 12:00 – 2022/06/30 23:59,2022/05/17 12:00:00,2022/06/30 23:59:00
